Labels,Farvekode,"Oprettes i GitHub",Kims Kryds
2.1.5,#C5DEF5,JA,
2.2,#C5DEF5,JA,
2.5,#C5DEF5,JA,
2.5.1,#C5DEF5,JA,
2.5.2,#C5DEF5,JA,
2.5.3,#C5DEF5,JA,
2.5.4,#C5DEF5,JA,
2.5.5,#C5DEF5,JA,
2.5.6,#C5DEF5,JA,
2.6.0,#C5DEF5,JA,
2.6.1,#C5DEF5,JA,
2.6.2,#C5DEF5,JA,
2.6.3,#C5DEF5,JA,
2.6.4,#C5DEF5,JA,
2.6.5,#C5DEF5,JA,
2.7,#C5DEF5,JA,
2.8,#C5DEF5,JA,
3.0,#C5DEF5,JA,
3.1,#C5DEF5,JA,
3.2,#C5DEF5,JA,
3.4,#C5DEF5,JA,
3.6,#C5DEF5,JA,
3.7,#C5DEF5,JA,
3.7.1,#C5DEF5,JA,
3.8,#C5DEF5,JA,
3.9,#C5DEF5,JA,
3.9.1,#C5DEF5,JA,
3.9.2,#C5DEF5,JA,
4.0,#C5DEF5,JA,
4.0.1,#C5DEF5,JA,
4.1,#C5DEF5,JA,
4.10,#C5DEF5,JA,
4.11,#C5DEF5,JA,
4.12,#C5DEF5,JA,
4.13,#C5DEF5,JA,
4.2,#C5DEF5,JA,
4.3,#C5DEF5,JA,
4.4,#C5DEF5,JA,
4.5,#C5DEF5,JA,
4.6,#C5DEF5,JA,
4.6.1,#C5DEF5,JA,
4.7,#C5DEF5,JA,
4.8,#C5DEF5,JA,
4.9,#C5DEF5,JA,
Adr_Søg,,NEJ,
Afventer_SPA-projekt,,NEJ,
ANALYSE,,NEJ,
analyse_estimat_godkendt,,NEJ,x
ANALYSE2015,,NEJ,
ANALYSE2016,,NEJ,
Analyseestimat_klar,,NEJ,x
BDD,,NEJ,
Boble,,NEJ,x
BUG_2.6.5,#C5DEF5,JA,
Bør_lukkes,,NEJ,
CROSSPLATFORM,,NEJ,
Databehandling,,NEJ,
db_optimering,#C5DEF5,JA,
db_prioriteret,,NEJ,
DKJORD,#C5DEF5,JA,
DKJORD-integration,#C5DEF5,JA,
DMP,,NEJ,
Efter_DKJord,,NEJ,
Estimat_ønskes,,NEJ,x
FaseMerge,,NEJ,
fixed,,NEJ,
flyttet,,NEJ,
GDPR,,NEJ,
GEOSERVER,#C5DEF5,JA,
GIS,#C5DEF5,JA,
HOTFIX,,NEJ,
HS,,NEJ,
impl_estim_godkendt,,NEJ,x
impl_estim_KLAR,,NEJ,x
Info,,NEJ,
int,,NEJ,
JAR-1287,#C5DEF5,JA,
jargruppen,,NEJ,
MI,,NEJ,
NYOFFWEB,,NEJ,
OBS!,,NEJ,
OpenAPI,#C5DEF5,JA,
Oprydning,#C5DEF5,JA,
OVERVÅG,,NEJ,
PLENUM,,NEJ,
RSYD,,NEJ,
SD,,NEJ,
SJ,,NEJ,
SPA,,NEJ,
SPA-8_test,,NEJ,
spec,,NEJ,x
spec_godkendt,,NEJ,x
SPRINT3,,NEJ,
SPRINT6,,NEJ,
stancode,,NEJ,
teknisk_gaeld,,NEJ,
Tom,,NEJ,
UAFKLARET,#C5DEF5,JA,
UdenforRelease,#C5DEF5,JA,
UI,#C5DEF5,JA,
v,,NEJ,x
WORKSHOP,,NEJ,
WS,,NEJ,"ændres til ""Workshop"""
5.0,#C5DEF5,JA,
